Points_0,Points_1,Points_2,qr
0.201,0,0.05,-44848.9
0.202,0,0.05,-44836
0.203,0,0.05,-44823
0.204,0,0.05,-44810
0.205,0,0.05,-44797
0.206,0,0.05,-44784.1
0.207,0,0.05,-44771.1
0.208,0,0.05,-44758.1
0.209,0,0.05,-44745.2
0.21,0,0.05,-44732.2
0.211,0,0.05,-44719.2
0.212,0,0.05,-44706.3
0.213,0,0.05,-44693.3
0.214,0,0.05,-44680.3
0.215,0,0.05,-44667.3
0.216,0,0.05,-44654.4
0.217,0,0.05,-44641.4
0.218,0,0.05,-44628.4
0.219,0,0.05,-44615.5
0.22,0,0.05,-44602.5
0.221,0,0.05,-44589.5
0.222,0,0.05,-44576.6
0.223,0,0.05,-44563.6
0.224,0,0.05,-44550.6
0.225,0,0.05,-44537.6
0.226,0,0.05,-44524.7
0.227,0,0.05,-44511.7
0.228,0,0.05,-44498.7
0.229,0,0.05,-44485.8
0.23,0,0.05,-44472.8
0.231,0,0.05,-44459.8
0.232,0,0.05,-44446.8
0.233,0,0.05,-44433.9
0.234,0,0.05,-44422.3
0.235,0,0.05,-44411.3
0.236,0,0.05,-44400.4
0.237,0,0.05,-44389.5
0.238,0,0.05,-44378.5
0.239,0,0.05,-44367.6
0.24,0,0.05,-44356.7
0.241,0,0.05,-44345.8
0.242,0,0.05,-44334.8
0.243,0,0.05,-44323.9
0.244,0,0.05,-44313
0.245,0,0.05,-44302
0.246,0,0.05,-44291.1
0.247,0,0.05,-44280.2
0.248,0,0.05,-44269.2
0.249,0,0.05,-44258.3
0.25,0,0.05,-44247.4
0.251,0,0.05,-44236.4
0.252,0,0.05,-44225.5
0.253,0,0.05,-44214.6
0.254,0,0.05,-44203.7
0.255,0,0.05,-44192.7
0.256,0,0.05,-44181.8
0.257,0,0.05,-44170.9
0.258,0,0.05,-44159.9
0.259,0,0.05,-44149
0.26,0,0.05,-44138.1
0.261,0,0.05,-44127.1
0.262,0,0.05,-44116.2
0.263,0,0.05,-44105.3
0.264,0,0.05,-44094.3
0.265,0,0.05,-44083.4
0.266,0,0.05,-44072.5
0.267,0,0.05,-44062.2
0.268,0,0.05,-44053
0.269,0,0.05,-44043.9
0.27,0,0.05,-44034.8
0.271,0,0.05,-44025.7
0.272,0,0.05,-44016.5
0.273,0,0.05,-44007.4
0.274,0,0.05,-43998.3
0.275,0,0.05,-43989.2
0.276,0,0.05,-43980
0.277,0,0.05,-43970.9
0.278,0,0.05,-43961.8
0.279,0,0.05,-43952.7
0.28,0,0.05,-43943.5
0.281,0,0.05,-43934.4
0.282,0,0.05,-43925.3
0.283,0,0.05,-43916.2
0.284,0,0.05,-43907
0.285,0,0.05,-43897.9
0.286,0,0.05,-43888.8
0.287,0,0.05,-43879.7
0.288,0,0.05,-43870.5
0.289,0,0.05,-43861.4
0.29,0,0.05,-43852.3
0.291,0,0.05,-43843.2
0.292,0,0.05,-43834
0.293,0,0.05,-43824.9
0.294,0,0.05,-43815.8
0.295,0,0.05,-43806.7
0.296,0,0.05,-43797.5
0.297,0,0.05,-43788.4
0.298,0,0.05,-43779.3
0.299,0,0.05,-43770.2
0.3,0,0.05,-43761
0.301,0,0.05,-43753.6
0.302,0,0.05,-43746.1
0.303,0,0.05,-43738.6
0.304,0,0.05,-43731.1
0.305,0,0.05,-43723.6
0.306,0,0.05,-43716.1
0.307,0,0.05,-43708.6
0.308,0,0.05,-43701.1
0.309,0,0.05,-43693.6
0.31,0,0.05,-43686.2
0.311,0,0.05,-43678.7
0.312,0,0.05,-43671.2
0.313,0,0.05,-43663.7
0.314,0,0.05,-43656.2
0.315,0,0.05,-43648.7
0.316,0,0.05,-43641.2
0.317,0,0.05,-43633.7
0.318,0,0.05,-43626.2
0.319,0,0.05,-43618.7
0.32,0,0.05,-43611.3
0.321,0,0.05,-43603.8
0.322,0,0.05,-43596.3
0.323,0,0.05,-43588.8
0.324,0,0.05,-43581.3
0.325,0,0.05,-43573.8
0.326,0,0.05,-43566.3
0.327,0,0.05,-43558.8
0.328,0,0.05,-43551.3
0.329,0,0.05,-43543.9
0.33,0,0.05,-43536.4
0.331,0,0.05,-43528.9
0.332,0,0.05,-43521.4
0.333,0,0.05,-43513.9
0.334,0,0.05,-43507.4
0.335,0,0.05,-43501.4
0.336,0,0.05,-43495.4
0.337,0,0.05,-43489.5
0.338,0,0.05,-43483.5
0.339,0,0.05,-43477.5
0.34,0,0.05,-43471.5
0.341,0,0.05,-43465.5
0.342,0,0.05,-43459.6
0.343,0,0.05,-43453.6
0.344,0,0.05,-43447.6
0.345,0,0.05,-43441.6
0.346,0,0.05,-43435.6
0.347,0,0.05,-43429.6
0.348,0,0.05,-43423.7
0.349,0,0.05,-43417.7
0.35,0,0.05,-43411.7
0.351,0,0.05,-43405.7
0.352,0,0.05,-43399.7
0.353,0,0.05,-43393.8
0.354,0,0.05,-43387.8
0.355,0,0.05,-43381.8
0.356,0,0.05,-43375.8
0.357,0,0.05,-43369.8
0.358,0,0.05,-43363.8
0.359,0,0.05,-43357.9
