Points_0,Points_1,Points_2,qr
1,0.156,0.05,26671.7
1,0.157,0.05,26623.7
1,0.158,0.05,26575.7
1,0.159,0.05,26527.7
1,0.16,0.05,26479.7
1,0.161,0.05,26431.6
1,0.162,0.05,26383.6
1,0.163,0.05,26335.6
1,0.164,0.05,26287.6
1,0.165,0.05,26239.6
1,0.166,0.05,26191.6
1,0.167,0.05,26144.7
1,0.168,0.05,26100
1,0.169,0.05,26055.3
1,0.17,0.05,26010.7
1,0.171,0.05,25966
1,0.172,0.05,25921.4
1,0.173,0.05,25876.7
1,0.174,0.05,25832.1
1,0.175,0.05,25787.4
1,0.176,0.05,25742.7
1,0.177,0.05,25698.1
1,0.178,0.05,25653.4
1,0.179,0.05,25608.8
1,0.18,0.05,25564.1
1,0.181,0.05,25519.5
1,0.182,0.05,25474.8
1,0.183,0.05,25430.1
1,0.184,0.05,25385.5
1,0.185,0.05,25340.8
1,0.186,0.05,25296.2
1,0.187,0.05,25251.5
1,0.188,0.05,25206.8
1,0.189,0.05,25162.2
1,0.19,0.05,25117.5
1,0.191,0.05,25072.9
1,0.192,0.05,25028.2
1,0.193,0.05,24983.6
1,0.194,0.05,24938.9
1,0.195,0.05,24894.2
1,0.196,0.05,24849.6
1,0.197,0.05,24804.9
1,0.198,0.05,24760.3
1,0.199,0.05,24715.6
1,0.2,0.05,24670.9
1,0.201,0.05,24629.5
1,0.202,0.05,24588
1,0.203,0.05,24546.5
1,0.204,0.05,24505
1,0.205,0.05,24463.5
1,0.206,0.05,24422
1,0.207,0.05,24380.5
1,0.208,0.05,24339
1,0.209,0.05,24297.5
1,0.21,0.05,24256
1,0.211,0.05,24214.5
1,0.212,0.05,24173
1,0.213,0.05,24131.5
1,0.214,0.05,24090
1,0.215,0.05,24048.5
1,0.216,0.05,24007
1,0.217,0.05,23965.5
1,0.218,0.05,23924
1,0.219,0.05,23882.6
1,0.22,0.05,23841.1
1,0.221,0.05,23799.6
1,0.222,0.05,23758.1
1,0.223,0.05,23716.6
1,0.224,0.05,23675.1
1,0.225,0.05,23633.6
1,0.226,0.05,23592.1
1,0.227,0.05,23550.6
1,0.228,0.05,23509.1
1,0.229,0.05,23467.6
1,0.23,0.05,23426.1
1,0.231,0.05,23384.6
1,0.232,0.05,23343.1
1,0.233,0.05,23301.6
1,0.234,0.05,23261.9
1,0.235,0.05,23223
1,0.236,0.05,23184.1
1,0.237,0.05,23145.2
1,0.238,0.05,23106.2
1,0.239,0.05,23067.3
1,0.24,0.05,23028.4
1,0.241,0.05,22989.5
1,0.242,0.05,22950.6
1,0.243,0.05,22911.7
1,0.244,0.05,22872.8
1,0.245,0.05,22833.9
1,0.246,0.05,22795
1,0.247,0.05,22756.1
1,0.248,0.05,22717.2
1,0.249,0.05,22678.3
1,0.25,0.05,22639.4
1,0.251,0.05,22600.5
1,0.252,0.05,22561.6
1,0.253,0.05,22522.7
1,0.254,0.05,22483.8
1,0.255,0.05,22444.9
1,0.256,0.05,22406
1,0.257,0.05,22367.1
1,0.258,0.05,22328.2
1,0.259,0.05,22289.3
1,0.26,0.05,22250.4
1,0.261,0.05,22211.5
1,0.262,0.05,22172.6
1,0.263,0.05,22133.6
1,0.264,0.05,22094.7
1,0.265,0.05,22055.8
1,0.266,0.05,22016.9
1,0.267,0.05,21978.8
1,0.268,0.05,21942.1
1,0.269,0.05,21905.4
1,0.27,0.05,21868.7
1,0.271,0.05,21832
1,0.272,0.05,21795.4
1,0.273,0.05,21758.7
1,0.274,0.05,21722
1,0.275,0.05,21685.3
1,0.276,0.05,21648.6
1,0.277,0.05,21612
1,0.278,0.05,21575.3
1,0.279,0.05,21538.6
1,0.28,0.05,21501.9
1,0.281,0.05,21465.2
1,0.282,0.05,21428.6
1,0.283,0.05,21391.9
1,0.284,0.05,21355.2
1,0.285,0.05,21318.5
1,0.286,0.05,21281.8
1,0.287,0.05,21245.2
1,0.288,0.05,21208.5
1,0.289,0.05,21171.8
1,0.29,0.05,21135.1
1,0.291,0.05,21098.4
1,0.292,0.05,21061.8
1,0.293,0.05,21025.1
1,0.294,0.05,20988.4
1,0.295,0.05,20951.7
1,0.296,0.05,20915
1,0.297,0.05,20878.3
1,0.298,0.05,20841.7
1,0.299,0.05,20805
1,0.3,0.05,20768.3
1,0.301,0.05,20733.7
1,0.302,0.05,20699
1,0.303,0.05,20664.4
1,0.304,0.05,20629.7
1,0.305,0.05,20595.1
1,0.306,0.05,20560.5
1,0.307,0.05,20525.8
1,0.308,0.05,20491.2
1,0.309,0.05,20456.5
1,0.31,0.05,20421.9
1,0.311,0.05,20387.2
1,0.312,0.05,20352.6
1,0.313,0.05,20318
1,0.314,0.05,20283.3
1,0.315,0.05,20248.7
1,0.316,0.05,20214
1,0.317,0.05,20179.4
1,0.318,0.05,20144.8
1,0.319,0.05,20110.1
1,0.32,0.05,20075.5
1,0.321,0.05,20040.8
1,0.322,0.05,20006.2
1,0.323,0.05,19971.6
1,0.324,0.05,19936.9
1,0.325,0.05,19902.3
1,0.326,0.05,19867.6
1,0.327,0.05,19833
1,0.328,0.05,19798.4
1,0.329,0.05,19763.7
1,0.33,0.05,19729.1
