Points_0,Points_1,Points_2,qr
1,0.802,0.05,8293.34
1,0.803,0.05,8276.11
1,0.804,0.05,8258.88
1,0.805,0.05,8241.65
1,0.806,0.05,8224.42
1,0.807,0.05,8207.19
1,0.808,0.05,8189.96
1,0.809,0.05,8172.73
1,0.81,0.05,8155.51
1,0.811,0.05,8138.28
1,0.812,0.05,8121.05
1,0.813,0.05,8103.82
1,0.814,0.05,8086.59
1,0.815,0.05,8069.36
1,0.816,0.05,8052.13
1,0.817,0.05,8034.9
1,0.818,0.05,8017.68
1,0.819,0.05,8000.45
1,0.82,0.05,7983.22
1,0.821,0.05,7965.99
1,0.822,0.05,7948.76
1,0.823,0.05,7931.53
1,0.824,0.05,7914.3
1,0.825,0.05,7897.07
1,0.826,0.05,7879.85
1,0.827,0.05,7862.62
1,0.828,0.05,7845.39
1,0.829,0.05,7828.16
1,0.83,0.05,7810.93
1,0.831,0.05,7793.7
1,0.832,0.05,7776.47
1,0.833,0.05,7759.24
1,0.834,0.05,7742.34
1,0.835,0.05,7725.59
1,0.836,0.05,7708.84
1,0.837,0.05,7692.1
1,0.838,0.05,7675.35
1,0.839,0.05,7658.61
1,0.84,0.05,7641.86
1,0.841,0.05,7625.12
1,0.842,0.05,7608.37
1,0.843,0.05,7591.63
1,0.844,0.05,7574.88
1,0.845,0.05,7558.14
1,0.846,0.05,7541.39
1,0.847,0.05,7524.65
1,0.848,0.05,7507.9
1,0.849,0.05,7491.16
1,0.85,0.05,7474.41
1,0.851,0.05,7457.66
1,0.852,0.05,7440.92
1,0.853,0.05,7424.17
1,0.854,0.05,7407.43
1,0.855,0.05,7390.68
1,0.856,0.05,7373.94
1,0.857,0.05,7357.19
1,0.858,0.05,7340.45
1,0.859,0.05,7323.7
1,0.86,0.05,7306.96
1,0.861,0.05,7290.21
1,0.862,0.05,7273.47
1,0.863,0.05,7256.72
1,0.864,0.05,7239.97
1,0.865,0.05,7223.23
1,0.866,0.05,7206.48
1,0.867,0.05,7189.8
1,0.868,0.05,7173.26
1,0.869,0.05,7156.71
1,0.87,0.05,7140.16
1,0.871,0.05,7123.61
1,0.872,0.05,7107.06
1,0.873,0.05,7090.51
1,0.874,0.05,7073.96
1,0.875,0.05,7057.41
1,0.876,0.05,7040.86
1,0.877,0.05,7024.31
1,0.878,0.05,7007.76
1,0.879,0.05,6991.21
1,0.88,0.05,6974.67
1,0.881,0.05,6958.12
1,0.882,0.05,6941.57
1,0.883,0.05,6925.02
1,0.884,0.05,6908.47
1,0.885,0.05,6891.92
1,0.886,0.05,6875.37
1,0.887,0.05,6858.82
1,0.888,0.05,6842.27
1,0.889,0.05,6825.72
1,0.89,0.05,6809.18
1,0.891,0.05,6792.63
1,0.892,0.05,6776.08
1,0.893,0.05,6759.53
1,0.894,0.05,6742.98
1,0.895,0.05,6726.43
1,0.896,0.05,6709.88
1,0.897,0.05,6693.33
1,0.898,0.05,6676.78
1,0.899,0.05,6660.23
1,0.9,0.05,6643.69
1,0.901,0.05,6627.78
1,0.902,0.05,6611.87
1,0.903,0.05,6595.96
1,0.904,0.05,6580.05
1,0.905,0.05,6564.14
1,0.906,0.05,6548.23
1,0.907,0.05,6532.32
1,0.908,0.05,6516.41
1,0.909,0.05,6500.5
1,0.91,0.05,6484.59
1,0.911,0.05,6468.69
1,0.912,0.05,6452.78
1,0.913,0.05,6436.87
1,0.914,0.05,6420.96
1,0.915,0.05,6405.05
1,0.916,0.05,6389.14
1,0.917,0.05,6373.23
1,0.918,0.05,6357.32
1,0.919,0.05,6341.41
1,0.92,0.05,6325.5
1,0.921,0.05,6309.6
1,0.922,0.05,6293.69
1,0.923,0.05,6277.78
1,0.924,0.05,6261.87
1,0.925,0.05,6245.96
1,0.926,0.05,6230.05
1,0.927,0.05,6214.14
1,0.928,0.05,6198.23
1,0.929,0.05,6182.32
1,0.93,0.05,6166.41
1,0.931,0.05,6150.51
1,0.932,0.05,6134.6
1,0.933,0.05,6118.69
1,0.934,0.05,6100.67
1,0.935,0.05,6081.61
