Points_0,Points_1,Points_2,qr
0.214,1,0.05,11828.1
0.215,1,0.05,11838.8
0.216,1,0.05,11849.4
0.217,1,0.05,11860
0.218,1,0.05,11870.6
0.219,1,0.05,11881.3
0.22,1,0.05,11891.9
0.221,1,0.05,11902.5
0.222,1,0.05,11913.2
0.223,1,0.05,11923.8
0.224,1,0.05,11934.4
0.225,1,0.05,11945
0.226,1,0.05,11955.7
0.227,1,0.05,11966.3
0.228,1,0.05,11976.9
0.229,1,0.05,11987.5
0.23,1,0.05,11998.2
0.231,1,0.05,12008.8
0.232,1,0.05,12019.4
0.233,1,0.05,12030.1
0.234,1,0.05,12039.9
0.235,1,0.05,12049.3
0.236,1,0.05,12058.8
0.237,1,0.05,12068.2
0.238,1,0.05,12077.7
0.239,1,0.05,12087.1
0.24,1,0.05,12096.5
0.241,1,0.05,12106
0.242,1,0.05,12115.4
0.243,1,0.05,12124.9
0.244,1,0.05,12134.3
0.245,1,0.05,12143.8
0.246,1,0.05,12153.2
0.247,1,0.05,12162.6
0.248,1,0.05,12172.1
0.249,1,0.05,12181.5
0.25,1,0.05,12191
0.251,1,0.05,12200.4
0.252,1,0.05,12209.9
0.253,1,0.05,12219.3
0.254,1,0.05,12228.7
0.255,1,0.05,12238.2
0.256,1,0.05,12247.6
0.257,1,0.05,12257.1
0.258,1,0.05,12266.5
0.259,1,0.05,12276
0.26,1,0.05,12285.4
0.261,1,0.05,12294.8
0.262,1,0.05,12304.3
0.263,1,0.05,12313.7
0.264,1,0.05,12323.2
0.265,1,0.05,12332.6
0.266,1,0.05,12342.1
0.267,1,0.05,12351.1
0.268,1,0.05,12359.4
0.269,1,0.05,12367.7
0.27,1,0.05,12376
0.271,1,0.05,12384.4
0.272,1,0.05,12392.7
0.273,1,0.05,12401
0.274,1,0.05,12409.3
0.275,1,0.05,12417.6
0.276,1,0.05,12425.9
0.277,1,0.05,12434.2
0.278,1,0.05,12442.5
0.279,1,0.05,12450.8
0.28,1,0.05,12459.1
0.281,1,0.05,12467.4
0.282,1,0.05,12475.7
0.283,1,0.05,12484.1
0.284,1,0.05,12492.4
0.285,1,0.05,12500.7
0.286,1,0.05,12509
0.287,1,0.05,12517.3
0.288,1,0.05,12525.6
0.289,1,0.05,12533.9
0.29,1,0.05,12542.2
0.291,1,0.05,12550.5
0.292,1,0.05,12558.8
0.293,1,0.05,12567.1
0.294,1,0.05,12575.4
0.295,1,0.05,12583.8
0.296,1,0.05,12592.1
0.297,1,0.05,12600.4
0.298,1,0.05,12608.7
0.299,1,0.05,12617
0.3,1,0.05,12625.3
0.301,1,0.05,12632.4
0.302,1,0.05,12639.5
0.303,1,0.05,12646.6
0.304,1,0.05,12653.7
0.305,1,0.05,12660.8
0.306,1,0.05,12667.9
0.307,1,0.05,12675
0.308,1,0.05,12682.1
0.309,1,0.05,12689.2
0.31,1,0.05,12696.2
0.311,1,0.05,12703.3
0.312,1,0.05,12710.4
0.313,1,0.05,12717.5
0.314,1,0.05,12724.6
0.315,1,0.05,12731.7
0.316,1,0.05,12738.8
0.317,1,0.05,12745.9
0.318,1,0.05,12753
0.319,1,0.05,12760.1
0.32,1,0.05,12767.2
0.321,1,0.05,12774.3
0.322,1,0.05,12781.4
0.323,1,0.05,12788.5
0.324,1,0.05,12795.6
0.325,1,0.05,12802.7
0.326,1,0.05,12809.8
0.327,1,0.05,12816.9
0.328,1,0.05,12824
0.329,1,0.05,12831.1
0.33,1,0.05,12838.1
0.331,1,0.05,12845.2
0.332,1,0.05,12852.3
0.333,1,0.05,12859.4
0.334,1,0.05,12865.7
0.335,1,0.05,12871.5
0.336,1,0.05,12877.4
0.337,1,0.05,12883.2
0.338,1,0.05,12889
0.339,1,0.05,12894.9
0.34,1,0.05,12900.7
0.341,1,0.05,12906.5
0.342,1,0.05,12912.4
0.343,1,0.05,12918.2
0.344,1,0.05,12924
0.345,1,0.05,12929.9
0.346,1,0.05,12935.7
0.347,1,0.05,12941.5
0.348,1,0.05,12947.4
0.349,1,0.05,12953.2
0.35,1,0.05,12959
0.351,1,0.05,12964.9
0.352,1,0.05,12970.7
0.353,1,0.05,12976.5
0.354,1,0.05,12982.4
0.355,1,0.05,12988.2
0.356,1,0.05,12994
0.357,1,0.05,12999.9
0.358,1,0.05,13005.7
0.359,1,0.05,13011.5
0.36,1,0.05,13017.4
0.361,1,0.05,13023.2
0.362,1,0.05,13029
0.363,1,0.05,13034.9
0.364,1,0.05,13040.7
0.365,1,0.05,13046.5
0.366,1,0.05,13052.4
0.367,1,0.05,13057.8
0.368,1,0.05,13062.3
0.369,1,0.05,13066.9
0.37,1,0.05,13071.5
0.371,1,0.05,13076
0.372,1,0.05,13080.6
0.373,1,0.05,13085.1
0.374,1,0.05,13089.7
0.375,1,0.05,13094.3
0.376,1,0.05,13098.8
0.377,1,0.05,13103.4
0.378,1,0.05,13107.9
0.379,1,0.05,13112.5
0.38,1,0.05,13117.1
0.381,1,0.05,13121.6
0.382,1,0.05,13126.2
0.383,1,0.05,13130.8
0.384,1,0.05,13135.3
0.385,1,0.05,13139.9
0.386,1,0.05,13144.4
0.387,1,0.05,13149
0.388,1,0.05,13153.6
0.389,1,0.05,13158.1
0.39,1,0.05,13162.7
0.391,1,0.05,13167.2
0.392,1,0.05,13171.8
0.393,1,0.05,13176.4
0.394,1,0.05,13180.9
0.395,1,0.05,13185.5
0.396,1,0.05,13190.1
0.397,1,0.05,13194.6
0.398,1,0.05,13199.2
0.399,1,0.05,13203.7
0.4,1,0.05,13208.3
0.401,1,0.05,13211.6
0.402,1,0.05,13214.9
0.403,1,0.05,13218.1
0.404,1,0.05,13221.4
0.405,1,0.05,13224.7
0.406,1,0.05,13228
0.407,1,0.05,13231.2
0.408,1,0.05,13234.5
0.409,1,0.05,13237.8
0.41,1,0.05,13241.1
0.411,1,0.05,13244.3
0.412,1,0.05,13247.6
0.413,1,0.05,13250.9
0.414,1,0.05,13254.2
0.415,1,0.05,13257.4
0.416,1,0.05,13260.7
0.417,1,0.05,13264
0.418,1,0.05,13267.3
0.419,1,0.05,13270.5
0.42,1,0.05,13273.8
0.421,1,0.05,13277.1
0.422,1,0.05,13280.4
0.423,1,0.05,13283.6
0.424,1,0.05,13286.9
0.425,1,0.05,13290.2
0.426,1,0.05,13293.5
0.427,1,0.05,13296.8
0.428,1,0.05,13300
0.429,1,0.05,13303.3
0.43,1,0.05,13306.6
0.431,1,0.05,13309.9
0.432,1,0.05,13313.1
0.433,1,0.05,13316.4
0.434,1,0.05,13318.8
0.435,1,0.05,13320.8
0.436,1,0.05,13322.8
0.437,1,0.05,13324.7
0.438,1,0.05,13326.7
0.439,1,0.05,13328.7
0.44,1,0.05,13330.6
0.441,1,0.05,13332.6
0.442,1,0.05,13334.6
0.443,1,0.05,13336.6
0.444,1,0.05,13338.5
0.445,1,0.05,13340.5
0.446,1,0.05,13342.5
0.447,1,0.05,13344.4
0.448,1,0.05,13346.4
0.449,1,0.05,13348.4
0.45,1,0.05,13350.3
0.451,1,0.05,13352.3
0.452,1,0.05,13354.3
0.453,1,0.05,13356.3
0.454,1,0.05,13358.2
