Points_0,Points_1,Points_2,Points_Magnitude,qem,qin,qr
0.101,0,0.05,0.112699,-3544.01,20001.3,16457.3
0.102,0,0.05,0.113596,-3544.01,20032.7,16488.7
0.103,0,0.05,0.114495,-3544.01,20064,16520
0.104,0,0.05,0.115395,-3544.01,20095.3,16551.3
0.105,0,0.05,0.116297,-3544.01,20126.6,16582.6
0.106,0,0.05,0.117201,-3544.01,20158,16614
0.107,0,0.05,0.118106,-3544.01,20189.3,16645.3
0.108,0,0.05,0.119013,-3544.01,20220.6,16676.6
0.109,0,0.05,0.119921,-3544.01,20252,16708
0.11,0,0.05,0.12083,-3544.01,20283.3,16739.3
0.111,0,0.05,0.121742,-3544.01,20314.6,16770.6
0.112,0,0.05,0.122654,-3544.01,20345.9,16801.9
0.113,0,0.05,0.123568,-3544.01,20377.3,16833.3
0.114,0,0.05,0.124483,-3544.01,20408.6,16864.6
0.115,0,0.05,0.125399,-3544.01,20439.9,16895.9
0.116,0,0.05,0.126317,-3544.01,20471.2,16927.2
0.117,0,0.05,0.127236,-3544.01,20502.6,16958.6
0.118,0,0.05,0.128156,-3544.01,20533.9,16989.9
0.119,0,0.05,0.129077,-3544.01,20565.2,17021.2
0.12,0,0.05,0.13,-3544.01,20596.6,17052.6
0.121,0,0.05,0.130924,-3544.01,20627.9,17083.9
0.122,0,0.05,0.131848,-3544.01,20659.2,17115.2
0.123,0,0.05,0.132774,-3544.01,20690.5,17146.5
0.124,0,0.05,0.133701,-3544.01,20721.9,17177.9
0.125,0,0.05,0.134629,-3544.01,20753.2,17209.2
0.126,0,0.05,0.135558,-3544.01,20784.5,17240.5
0.127,0,0.05,0.136488,-3544.01,20815.9,17271.9
0.128,0,0.05,0.137419,-3544.01,20847.2,17303.2
0.129,0,0.05,0.138351,-3544.01,20878.5,17334.5
0.13,0,0.05,0.139284,-3544.01,20909.8,17365.8
0.131,0,0.05,0.140218,-3544.01,20941.2,17397.2
0.132,0,0.05,0.141152,-3544.01,20972.5,17428.5
0.133,0,0.05,0.142088,-3544.01,21003.8,17459.8
0.134,0,0.05,0.143024,-3544.01,21035.2,17491.2
0.135,0,0.05,0.143962,-3544.01,21066.5,17522.5
0.136,0,0.05,0.1449,-3544.01,21097.8,17553.8
0.137,0,0.05,0.145839,-3544.01,21129.1,17585.1
0.138,0,0.05,0.146779,-3544.01,21160.5,17616.5
0.139,0,0.05,0.147719,-3544.01,21191.8,17647.8
0.14,0,0.05,0.148661,-3544.01,21223.1,17679.1
0.141,0,0.05,0.149603,-3544.01,21254.4,17710.4
0.142,0,0.05,0.150546,-3544.01,21285.8,17741.8
0.143,0,0.05,0.151489,-3544.01,21317.1,17773.1
0.144,0,0.05,0.152434,-3544.01,21348.4,17804.4
0.145,0,0.05,0.153379,-3544.01,21379.8,17835.8
0.146,0,0.05,0.154324,-3544.01,21411.1,17867.1
0.147,0,0.05,0.155271,-3544.01,21442.4,17898.4
0.148,0,0.05,0.156218,-3544.01,21473.7,17929.7
0.149,0,0.05,0.157166,-3544.01,21505.1,17961.1
0.15,0,0.05,0.158114,-3544.01,21536.4,17992.4
0.151,0,0.05,0.159063,-3544.01,21558.1,18014.1
0.152,0,0.05,0.160012,-3544.01,21579.8,18035.8
0.153,0,0.05,0.160963,-3544.01,21601.5,18057.5
0.154,0,0.05,0.161914,-3544.01,21623.2,18079.2
0.155,0,0.05,0.162865,-3544.01,21644.9,18100.9
0.156,0,0.05,0.163817,-3544.01,21666.6,18122.6
0.157,0,0.05,0.16477,-3544.01,21688.3,18144.3
0.158,0,0.05,0.165723,-3544.01,21710,18166
0.159,0,0.05,0.166676,-3544.01,21731.8,18187.8
0.16,0,0.05,0.167631,-3544.01,21753.5,18209.5
0.161,0,0.05,0.168585,-3544.01,21775.2,18231.2
0.162,0,0.05,0.169541,-3544.01,21796.9,18252.9
0.163,0,0.05,0.170496,-3544.01,21818.6,18274.6
0.164,0,0.05,0.171453,-3544.01,21840.3,18296.3
0.165,0,0.05,0.172409,-3544.01,21862,18318
0.166,0,0.05,0.173367,-3544.01,21883.7,18339.7
0.167,0,0.05,0.174324,-3544.01,21905.4,18361.4
0.168,0,0.05,0.175283,-3544.01,21927.1,18383.1
0.169,0,0.05,0.176241,-3544.01,21948.8,18404.8
0.17,0,0.05,0.1772,-3544.01,21970.5,18426.5
0.171,0,0.05,0.17816,-3544.01,21992.2,18448.2
0.172,0,0.05,0.17912,-3544.01,22013.9,18469.9
0.173,0,0.05,0.180081,-3544.01,22035.6,18491.6
0.174,0,0.05,0.181041,-3544.01,22057.3,18513.3
0.175,0,0.05,0.182003,-3544.01,22079,18535
0.176,0,0.05,0.182964,-3544.01,22100.8,18556.8
0.177,0,0.05,0.183927,-3544.01,22122.5,18578.5
0.178,0,0.05,0.184889,-3544.01,22144.2,18600.2
0.179,0,0.05,0.185852,-3544.01,22165.9,18621.9
0.18,0,0.05,0.186815,-3544.01,22187.6,18643.6
0.181,0,0.05,0.187779,-3544.01,22209.3,18665.3
0.182,0,0.05,0.188743,-3544.01,22231,18687
0.183,0,0.05,0.189708,-3544.01,22252.7,18708.7
0.184,0,0.05,0.190673,-3544.01,22274.4,18730.4
0.185,0,0.05,0.191638,-3544.01,22296.1,18752.1
0.186,0,0.05,0.192603,-3544.01,22317.8,18773.8
0.187,0,0.05,0.193569,-3544.01,22339.5,18795.5
0.188,0,0.05,0.194535,-3544.01,22361.2,18817.2
0.189,0,0.05,0.195502,-3544.01,22382.9,18838.9
0.19,0,0.05,0.196469,-3544.01,22404.6,18860.6
0.191,0,0.05,0.197436,-3544.01,22426.3,18882.3
0.192,0,0.05,0.198404,-3544.01,22448.1,18904.1
0.193,0,0.05,0.199372,-3544.01,22469.8,18925.8
0.194,0,0.05,0.20034,-3544.01,22491.5,18947.5
0.195,0,0.05,0.201308,-3544.01,22513.2,18969.2
0.196,0,0.05,0.202277,-3544.01,22534.9,18990.9
0.197,0,0.05,0.203246,-3544.01,22556.6,19012.6
0.198,0,0.05,0.204216,-3544.01,22578.3,19034.3
0.199,0,0.05,0.205185,-3544.01,22600,19056
0.2,0,0.05,0.206155,-3544.01,22621.7,19077.7
0.201,0,0.05,0.207126,-3544.01,22637.3,19093.3
0.202,0,0.05,0.208096,-3544.01,22653,19109
0.203,0,0.05,0.209067,-3544.01,22668.6,19124.6
0.204,0,0.05,0.210038,-3544.01,22684.3,19140.3
0.205,0,0.05,0.211009,-3544.01,22699.9,19155.9
0.206,0,0.05,0.211981,-3544.01,22715.5,19171.5
0.207,0,0.05,0.212953,-3544.01,22731.2,19187.2
0.208,0,0.05,0.213925,-3544.01,22746.8,19202.8
0.209,0,0.05,0.214898,-3544.01,22762.5,19218.5
0.21,0,0.05,0.21587,-3544.01,22778.1,19234.1
0.211,0,0.05,0.216843,-3544.01,22793.7,19249.7
0.212,0,0.05,0.217816,-3544.01,22809.4,19265.4
0.213,0,0.05,0.21879,-3544.01,22825,19281
0.214,0,0.05,0.219764,-3544.01,22840.6,19296.6
0.215,0,0.05,0.220737,-3544.01,22856.3,19312.3
0.216,0,0.05,0.221712,-3544.01,22871.9,19327.9
0.217,0,0.05,0.222686,-3544.01,22887.6,19343.6
0.218,0,0.05,0.22366,-3544.01,22903.2,19359.2
0.219,0,0.05,0.224635,-3544.01,22918.8,19374.8
0.22,0,0.05,0.22561,-3544.01,22934.5,19390.5
0.221,0,0.05,0.226586,-3544.01,22950.1,19406.1
0.222,0,0.05,0.227561,-3544.01,22965.8,19421.8
0.223,0,0.05,0.228537,-3544.01,22981.4,19437.4
0.224,0,0.05,0.229513,-3544.01,22997,19453
0.225,0,0.05,0.230489,-3544.01,23012.7,19468.7
0.226,0,0.05,0.231465,-3544.01,23028.3,19484.3
0.227,0,0.05,0.232441,-3544.01,23044,19500
0.228,0,0.05,0.233418,-3544.01,23059.6,19515.6
0.229,0,0.05,0.234395,-3544.01,23075.2,19531.2
0.23,0,0.05,0.235372,-3544.01,23090.9,19546.9
0.231,0,0.05,0.236349,-3544.01,23106.5,19562.5
0.232,0,0.05,0.237327,-3544.01,23122.1,19578.1
0.233,0,0.05,0.238304,-3544.01,23137.8,19593.8
0.234,0,0.05,0.239282,-3544.01,23153.4,19609.4
0.235,0,0.05,0.24026,-3544.01,23169.1,19625.1
0.236,0,0.05,0.241238,-3544.01,23184.7,19640.7
0.237,0,0.05,0.242217,-3544.01,23200.3,19656.3
0.238,0,0.05,0.243195,-3544.01,23216,19672
0.239,0,0.05,0.244174,-3544.01,23231.6,19687.6
0.24,0,0.05,0.245153,-3544.01,23247.3,19703.3
0.241,0,0.05,0.246132,-3544.01,23262.9,19718.9
0.242,0,0.05,0.247111,-3544.01,23278.5,19734.5
0.243,0,0.05,0.248091,-3544.01,23294.2,19750.2
0.244,0,0.05,0.24907,-3544.01,23309.8,19765.8
0.245,0,0.05,0.25005,-3544.01,23325.5,19781.5
0.246,0,0.05,0.25103,-3544.01,23341.1,19797.1
0.247,0,0.05,0.25201,-3544.01,23356.7,19812.7
