Points_0,Points_1,Points_2,qr
0,0.216,0.05,24007
0,0.217,0.05,23965.5
0,0.218,0.05,23924
0,0.219,0.05,23882.6
0,0.22,0.05,23841.1
0,0.221,0.05,23799.6
0,0.222,0.05,23758.1
0,0.223,0.05,23716.6
0,0.224,0.05,23675.1
0,0.225,0.05,23633.6
0,0.226,0.05,23592.1
0,0.227,0.05,23550.6
0,0.228,0.05,23509.1
0,0.229,0.05,23467.6
0,0.23,0.05,23426.1
0,0.231,0.05,23384.6
0,0.232,0.05,23343.1
0,0.233,0.05,23301.6
0,0.234,0.05,23261.9
0,0.235,0.05,23223
0,0.236,0.05,23184.1
0,0.237,0.05,23145.2
0,0.238,0.05,23106.2
0,0.239,0.05,23067.3
0,0.24,0.05,23028.4
0,0.241,0.05,22989.5
0,0.242,0.05,22950.6
0,0.243,0.05,22911.7
0,0.244,0.05,22872.8
0,0.245,0.05,22833.9
0,0.246,0.05,22795
0,0.247,0.05,22756.1
0,0.248,0.05,22717.2
0,0.249,0.05,22678.3
0,0.25,0.05,22639.4
0,0.251,0.05,22600.5
0,0.252,0.05,22561.6
0,0.253,0.05,22522.7
0,0.254,0.05,22483.8
0,0.255,0.05,22444.9
0,0.256,0.05,22406
0,0.257,0.05,22367.1
0,0.258,0.05,22328.2
0,0.259,0.05,22289.3
0,0.26,0.05,22250.4
0,0.261,0.05,22211.5
0,0.262,0.05,22172.6
0,0.263,0.05,22133.6
0,0.264,0.05,22094.7
0,0.265,0.05,22055.8
0,0.266,0.05,22016.9
0,0.267,0.05,21978.8
0,0.268,0.05,21942.1
0,0.269,0.05,21905.4
0,0.27,0.05,21868.7
0,0.271,0.05,21832
0,0.272,0.05,21795.4
0,0.273,0.05,21758.7
0,0.274,0.05,21722
0,0.275,0.05,21685.3
0,0.276,0.05,21648.6
0,0.277,0.05,21612
0,0.278,0.05,21575.3
0,0.279,0.05,21538.6
0,0.28,0.05,21501.9
0,0.281,0.05,21465.2
0,0.282,0.05,21428.6
0,0.283,0.05,21391.9
0,0.284,0.05,21355.2
0,0.285,0.05,21318.5
0,0.286,0.05,21281.8
0,0.287,0.05,21245.2
0,0.288,0.05,21208.5
0,0.289,0.05,21171.8
0,0.29,0.05,21135.1
0,0.291,0.05,21098.4
0,0.292,0.05,21061.8
0,0.293,0.05,21025.1
0,0.294,0.05,20988.4
0,0.295,0.05,20951.7
0,0.296,0.05,20915
0,0.297,0.05,20878.3
0,0.298,0.05,20841.7
0,0.299,0.05,20805
0,0.3,0.05,20768.3
0,0.301,0.05,20733.7
0,0.302,0.05,20699
0,0.303,0.05,20664.4
0,0.304,0.05,20629.7
0,0.305,0.05,20595.1
0,0.306,0.05,20560.5
0,0.307,0.05,20525.8
0,0.308,0.05,20491.2
0,0.309,0.05,20456.5
0,0.31,0.05,20421.9
0,0.311,0.05,20387.2
0,0.312,0.05,20352.6
0,0.313,0.05,20318
0,0.314,0.05,20283.3
0,0.315,0.05,20248.7
0,0.316,0.05,20214
0,0.317,0.05,20179.4
0,0.318,0.05,20144.8
0,0.319,0.05,20110.1
0,0.32,0.05,20075.5
0,0.321,0.05,20040.8
0,0.322,0.05,20006.2
0,0.323,0.05,19971.6
0,0.324,0.05,19936.9
0,0.325,0.05,19902.3
0,0.326,0.05,19867.6
0,0.327,0.05,19833
0,0.328,0.05,19798.4
0,0.329,0.05,19763.7
0,0.33,0.05,19729.1
0,0.331,0.05,19694.4
0,0.332,0.05,19659.8
0,0.333,0.05,19625.1
0,0.334,0.05,19591.8
0,0.335,0.05,19559
0,0.336,0.05,19526.2
0,0.337,0.05,19493.5
0,0.338,0.05,19460.7
0,0.339,0.05,19427.9
0,0.34,0.05,19395.2
0,0.341,0.05,19362.4
0,0.342,0.05,19329.6
0,0.343,0.05,19296.9
0,0.344,0.05,19264.1
0,0.345,0.05,19231.3
0,0.346,0.05,19198.6
0,0.347,0.05,19165.8
0,0.348,0.05,19133
0,0.349,0.05,19100.3
0,0.35,0.05,19067.5
0,0.351,0.05,19034.7
0,0.352,0.05,19002
0,0.353,0.05,18969.2
0,0.354,0.05,18936.4
0,0.355,0.05,18903.7
0,0.356,0.05,18870.9
0,0.357,0.05,18838.1
0,0.358,0.05,18805.4
0,0.359,0.05,18772.6
0,0.36,0.05,18739.8
0,0.361,0.05,18707.1
0,0.362,0.05,18674.3
0,0.363,0.05,18641.5
0,0.364,0.05,18608.8
0,0.365,0.05,18576
0,0.366,0.05,18543.2
0,0.367,0.05,18511
0,0.368,0.05,18480
0,0.369,0.05,18448.9
0,0.37,0.05,18417.9
0,0.371,0.05,18386.8
0,0.372,0.05,18355.8
0,0.373,0.05,18324.7
0,0.374,0.05,18293.7
0,0.375,0.05,18262.6
0,0.376,0.05,18231.6
0,0.377,0.05,18200.5
0,0.378,0.05,18169.5
0,0.379,0.05,18138.4
0,0.38,0.05,18107.4
0,0.381,0.05,18076.3
0,0.382,0.05,18045.3
0,0.383,0.05,18014.2
0,0.384,0.05,17983.2
0,0.385,0.05,17952.1
0,0.386,0.05,17921.1
0,0.387,0.05,17890
0,0.388,0.05,17859
0,0.389,0.05,17827.9
0,0.39,0.05,17796.9
0,0.391,0.05,17765.8
0,0.392,0.05,17734.8
0,0.393,0.05,17703.7
0,0.394,0.05,17672.7
0,0.395,0.05,17641.6
0,0.396,0.05,17610.6
0,0.397,0.05,17579.5
0,0.398,0.05,17548.5
0,0.399,0.05,17517.4
0,0.4,0.05,17486.3
0,0.401,0.05,17456.9
0,0.402,0.05,17427.4
0,0.403,0.05,17397.9
0,0.404,0.05,17368.5
0,0.405,0.05,17339
0,0.406,0.05,17309.5
0,0.407,0.05,17280.1
0,0.408,0.05,17250.6
0,0.409,0.05,17221.1
0,0.41,0.05,17191.7
0,0.411,0.05,17162.2
0,0.412,0.05,17132.7
0,0.413,0.05,17103.3
0,0.414,0.05,17073.8
0,0.415,0.05,17044.3
0,0.416,0.05,17014.8
0,0.417,0.05,16985.4
0,0.418,0.05,16955.9
0,0.419,0.05,16926.4
0,0.42,0.05,16897
0,0.421,0.05,16867.5
0,0.422,0.05,16838
0,0.423,0.05,16808.6
0,0.424,0.05,16779.1
0,0.425,0.05,16749.6
0,0.426,0.05,16720.2
0,0.427,0.05,16690.7
0,0.428,0.05,16661.2
0,0.429,0.05,16631.8
0,0.43,0.05,16602.3
0,0.431,0.05,16572.8
0,0.432,0.05,16543.3
0,0.433,0.05,16513.9
0,0.434,0.05,16485.4
0,0.435,0.05,16457.4
0,0.436,0.05,16429.4
0,0.437,0.05,16401.4
0,0.438,0.05,16373.4
0,0.439,0.05,16345.4
0,0.44,0.05,16317.4
0,0.441,0.05,16289.4
0,0.442,0.05,16261.5
0,0.443,0.05,16233.5
0,0.444,0.05,16205.5
0,0.445,0.05,16177.5
0,0.446,0.05,16149.5
0,0.447,0.05,16121.5
0,0.448,0.05,16093.5
0,0.449,0.05,16065.5
0,0.45,0.05,16037.5
0,0.451,0.05,16009.5
0,0.452,0.05,15981.5
0,0.453,0.05,15953.6
0,0.454,0.05,15925.6
0,0.455,0.05,15897.6
0,0.456,0.05,15869.6
0,0.457,0.05,15841.6
0,0.458,0.05,15813.6
0,0.459,0.05,15785.6
0,0.46,0.05,15757.6
0,0.461,0.05,15729.6
0,0.462,0.05,15701.6
0,0.463,0.05,15673.6
0,0.464,0.05,15645.6
0,0.465,0.05,15617.7
0,0.466,0.05,15589.7
0,0.467,0.05,15562.1
0,0.468,0.05,15535.5
0,0.469,0.05,15508.9
0,0.47,0.05,15482.3
0,0.471,0.05,15455.7
0,0.472,0.05,15429.1
0,0.473,0.05,15402.5
0,0.474,0.05,15375.9
0,0.475,0.05,15349.3
0,0.476,0.05,15322.7
0,0.477,0.05,15296
0,0.478,0.05,15269.4
0,0.479,0.05,15242.8
